00   0 36529140 35637610 37420670 13.7 13.4 14.1 14463480 13990149 14936811 20.5 19.8 21.1  9311378  8914055  9708701 18.6 17.8 19.4  35492  35198  35786 4582977 4295266 4870688 23.4 21.9 24.9 United States                                 US
38   0    72664    66218    79111 11.5 10.5 12.5    25020    21709    28332 15.0 13.0 17.0    15208    11944    18472 12.6  9.9 15.2  30798  28964  32631    8040    6657    9423 19.4 16.1 22.8 North Dakota                                  ND
39   0  1307399  1226443  1388355 11.7 11.0 12.4   495269   449334   541205 17.0 15.4 18.6   315069   272849   357289 15.0 13.0 17.0  34198  32807  35588  159217  136755  181678 20.8 17.8 23.7 Ohio                                          OH
40   0   561382   529711   593054 17.1 16.1 18.0   224171   206476   241866 25.1 23.1 27.1   145829   129634   162024 22.5 20.0 25.0  27648  26013  29282   70585   62293   78877 30.4 26.9 34.0 Oklahoma                                      OK
41   0   398220   367678   428762 12.3 11.3 13.2   146438   128322   164554 17.6 15.5 19.8    91011    73611   108411 15.2 12.3 18.2  35144  33192  37096   48303   41682   54924 22.1 19.1 25.2 Oregon                                        OR
42   0  1371267  1285292  1457241 11.5 10.8 12.2   483014   437619   528408 16.5 14.9 18.0   326556   285687   367425 15.3 13.4 17.3  35109  33752  36465  133344  111282  155406 17.6 14.7 20.5 Pennsylvania                                  PA
44   0   114894   105602   124186 11.8 10.8 12.7    42635    37998    47273 17.5 15.6 19.4    27818    23506    32130 16.0 13.5 18.5  36402  34337  38466   12821   10691   14951 19.6 16.3 22.8 Rhode Island                                  RI
45   0   570423   533904   606941 15.2 14.2 16.2   223387   203466   243308 23.1 21.1 25.2   149078   130840   167316 21.3 18.7 23.9  32728  30685  34770   66788   57440   76137 25.7 22.1 29.3 South Carolina                                SC
46   0    93834    86116   101552 13.0 11.9 14.0    36576    31952    41199 18.3 15.9 20.6    22956    18636    27276 15.9 12.9 18.9  29810  28059  31562   11781    9759   13802 23.3 19.3 27.3 South Dakota                                  SD
47   0   791285   737221   845349 14.8 13.8 15.8   292146   263747   320545 21.7 19.6 23.8   181481   155740   207222 19.0 16.3 21.7  31097  29324  32869   98072   84429  111714 26.4 22.7 30.0 Tennessee                                     TN
48   0  3360806  3198409  3523203 17.5 16.7 18.3  1453265  1356151  1550379 25.8 24.1 27.6   918680   835907  1001453 23.6 21.4 25.7  32773  31561  33986  490301  438041  542561 29.6 26.5 32.8 Texas                                         TX
49   0   193813   172850   214777  9.4  8.3 10.4    80071    65974    94169 11.3  9.3 13.3    43132    30605    55659  8.8  6.2 11.3  36360  34418  38302   30377   23306   37448 14.8 11.4 18.3 Utah                                          UT
50   0    64559    58639    70478 11.0 10.0 12.0    21811    18406    25217 14.9 12.6 17.3    13909    10736    17082 12.8  9.9 15.7  33352  31405  35298    6365    4944    7786 18.4 14.3 22.5 Vermont                                       VT
51   0   769893   713048   826739 11.5 10.7 12.4   276151   247925   304377 16.6 14.9 18.3   181168   155099   207237 15.2 13.0 17.4  38510  36550  40471   82819   69116   96522 18.0 15.0 21.0 Virginia                                      VA
53   0   641386   590768   692003 11.5 10.6 12.4   245319   217163   273475 16.7 14.8 18.6   158407   132212   184602 14.9 12.4 17.3  37847  35849  39845   74273   61899   86646 19.0 15.9 22.2 Washington                                    WA
54   0   359999   336483   383516 19.9 18.6 21.1   125415   113769   137061 29.8 27.0 32.6    84075    72884    95266 28.2 24.5 32.0  25760  24151  27369   36922   31815   42029 34.7 29.9 39.5 West Virginia                                 WV
55   0   447899   402432   493366  8.7  7.8  9.5   166956   140204   193708 12.2 10.2 14.2   102437    77481   127393 10.2  7.7 12.7  38598  36502  40694   51276   39243   63309 14.9 11.4 18.4 Wisconsin                                     WI
56   0    52907    48246    57567 11.1 10.1 12.0    19000    16395    21605 14.3 12.4 16.3    10733     8318    13148 10.9  8.4 13.3  31173  29348  32998    6829    5651    8008 21.6 17.9 25.3 Wyoming                                       WY
